Iteration,Weight,MSE,Gradient
90,2063.852231702942,24416558.863573402,-126.57815887347097
91,2063.9788098618155,24416543.458391264,-116.83164064020384
92,2064.0956415024557,24416530.33426985,-107.83560431091173
93,2064.2034771067665,24416519.15345022,-99.53226277897484
94,2064.3030093695456,24416509.62818573,-91.86827854498988
95,2064.3948776480906,24416501.513336685,-84.79442109702067
96,2064.4796720691875,24416494.60006145,-78.26525067256007
97,2064.5579373198602,24416488.71044179,-72.23882637076312
98,2064.630176146231,24416483.692904003,-66.67643674021674
99,2064.696852582971,24416479.418318056,-61.54235111121962
100,2064.7583949340824,24416475.776674323,-56.8035900756513
101,2064.815198524158,24416472.674252417,-52.42971363984107
102,2064.867628237798,24416470.031209227,-48.392625689572014
103,2064.9160208634876,24416467.779524084,-44.66639351146441
104,2064.960687256999,24416465.861248218,-41.22708121108299
105,2065.00191433821,24416464.227013372,-38.052595957825545
106,2065.0399669341678,24416462.834761314,-35.12254606907955
107,2065.075089480237,24416461.648661412,-32.41811002176837
108,2065.1075075902586,24416460.638188507,-29.92191555008758
109,2065.1374295058085,24416459.777337335,-27.61792805274599
110,2065.165047433861,24416459.043953262,-25.491347592690726
111,2065.190538781454,24416458.4191621,-23.528513828033464
112,2065.214067295282,24416457.886884384,-21.716818263301683
113,2065.2357841135454,24416457.433421567,-20.044623257005878
114,2065.2558287368024,24416457.047103442,-18.50118726621731
115,2065.2743299240688,24416456.717987828,-17.07659584670764
116,2065.2914065199157,24416456.43760469,-15.761697966502107
117,2065.307168217882,24416456.19873817,-14.548047223086177
118,2065.321716265105,24416455.995240852,-13.427847586919961
119,2065.335144112692,24416455.82187558,-12.393903322718689
120,2065.347538016015,24416455.674180683,-11.439572766856873
121,2065.3589775887817,24416455.548355114,-10.558725663808582
122,2065.3695363144457,24416455.441160664,-9.745703787685489
123,2065.3792820182334,24416455.349838607,-8.99528459602443
124,2065.3882773028295,24416455.27203869,-8.302647682128008
125,2065.3965799505118,24416455.20575869,-7.663343810591323
126,2065.4042432943224,24416455.149292834,-7.0732663371643865
127,2065.4113165606595,24416455.101187937,-6.528624829210457
128,2065.4178451854887,24416455.060205974,-6.0259207173687175
129,2065.423871106206,24416455.02529226,-5.561924822122092
130,2065.429433031028,24416454.99554825,-5.133656610830803
131,2065.434566687639,24416454.970208466,-4.738365051805158
132,2065.4393050526905,24416454.948620766,-4.373510942826397
133,2065.4436785636335,24416454.930229582,-4.036750600211962
134,2065.447715314234,24416454.914561596,-3.725920803997724
135,2065.4514412350377,24416454.901213586,-3.4390249021016643
136,2065.4548802599397,24416454.88984203,-3.174219984645606
137,2065.458054479924,24416454.88015427,-2.929805045838293
138,2065.46098428497,24416454.871900987,-2.704210057310411
139,2065.4636884950273,24416454.864869777,-2.495985882896639
140,2065.46618448091,24416454.85887968,-2.3037949699180897
141,2065.46848827588,24416454.85377655,-2.1264027572207853
142,2065.4706146786375,24416454.849429045,-1.9626697449130006
143,2065.4725773483824,24416454.845725276,-1.8115441745627323
144,2065.474388892557,24416454.84256993,-1.6720552731174394
145,2065.47606094783,24416454.839881796,-1.5433070171042345
146,2065.477604254847,24416454.8375917,-1.4244723767871619
147,2065.4790287272235,24416454.8356407,-1.3147880037955475
148,2065.480343515227,24416454.833978586,-1.2135493275054614
149,2065.4815570645546,24416454.83256258,-1.120106029289309
150,2065.482677170584,24416454.83135625,-1.0338578650334966
151,2065.483711028449,24416454.830328535,-0.95425080943387
152,2065.4846652792585,24416454.829453,-0.8807734970934689
153,2065.4855460527556,24416454.828707103,-0.812953937824932
154,2065.4863590066934,24416454.828071654,-0.7503564846148947
155,2065.487109363178,24416454.8275303,-0.6925790352863259
156,2065.4878019422135,24416454.827069096,-0.6392504495568574
157,2065.4884411926632,24416454.82667619,-0.5900281649388489
158,2065.489031220828,24416454.82634146,-0.5445959962307825
159,2065.4895758168245,24416454.826056294,-0.5026621045122738
160,2065.4900784789293,24416454.82581335,-0.46395712244848253
161,2065.490542436052,24416454.825606383,-0.42823242401354944
162,2065.4909706684757,24416454.82543006,-0.39525852736842354
163,2065.4913659270032,24416454.825279843,-0.36482362075475977
164,2065.491730750624,24416454.825151876,-0.33673220195196335
165,2065.492067482826,24416454.82504285,-0.3108038224134361
166,2065.492378286648,24416454.824949972,-0.28687192810175477
167,2065.492665158576,24416454.824870843,-0.26478278963768387
168,2065.4929299413657,24416454.824803434,-0.2443945148421335
169,2065.4931743358807,24416454.824746005,-0.22557613718963693
170,2065.493399912018,24416454.824697077,-0.20820677460724255
171,2065.4936081187925,24416454.8246554,-0.1921748529843171
172,2065.4938002936456,24416454.82461989,-0.177377389286994
173,2065.493977671035,24416454.824589636,-0.16371933031914523
174,2065.4941413903653,24416454.82456387,-0.1511129418751807
175,2065.494292503307,24416454.824541908,-0.13947724536556053
176,2065.4944319805522,24416454.824523203,-0.12873749748105184
177,2065.49456071805,24416454.82450727,-0.11882471017015632
178,2065.49467954276,24416454.82449369,-0.10967520748235984
179,2065.4947892179675,24416454.824482124,-0.10123021650069859
180,2065.494890448184,24416454.82447227,-0.09343548984179506
181,2065.4949838836737,24416454.82446388,-0.08624095713021233
182,2065.4950701246307,24416454.82445673,-0.07960040343459696
183,2065.495149725034,24416454.824450634,-0.07347117238678039
184,2065.4952231962066,24416454.824445445,-0.06781389209936606
185,2065.4952910100988,24416454.824441023,-0.06259222239459632
186,2065.4953536023213,24416454.824437257,-0.057772621267940846
187,2065.4954113749427,24416454.82443405,-0.0533241294164327
188,2065.4954646990723,24416454.824431315,-0.049218171430402434
189,2065.495513917244,24416454.824428987,-0.04542837221815717
190,2065.495559345616,24416454.824427,-0.04193038755620364
191,2065.4956012760035,24416454.824425314,-0.03870174772746395
192,2065.495639977751,24416454.824423872,-0.03572171316336607
193,2065.4956756994643,24416454.824422646,-0.03297114124143263
194,2065.4957086706054,24416454.8244216,-0.03043236338562565
195,2065.495739102969,24416454.82442071,-0.028089071399881503
196,2065.49576719204,24416454.824419953,-0.02592621290095849
197,2065.495793118253,24416454.8244193,-0.023929894520551897
198,2065.4958170481477,24416454.82441875,-0.022087292624928524
199,2065.4958391354403,24416454.824418284,-0.020386571093695238
200,2065.4958595220114,24416454.82441788,-0.018816805112874136
201,2065.4958783388165,24416454.824417543,-0.017367911120527425
202,2065.4958957067274,24416454.824417252,-0.016030581980885472
203,2065.4959117373096,24416454.824417006,-0.014796227157057728
204,2065.495926533537,24416454.824416794,-0.013656917655316647
205,2065.495940190455,24416454.824416615,-0.012605334978434257
206,2065.49595279579,24416454.824416466,-0.01163472417392768
207,2065.495964430514,24416454.824416332,-0.010738850422785617
208,2065.4959751693646,24416454.824416224,-0.009911958930024412
209,2065.4959850813234,24416454.824416127,-0.009148738093790599
210,2065.4959942300616,24416454.82441605,-0.008444285255973228
211,2065.496002674347,24416454.824415978,-0.007794075283163693
212,2065.4960104684224,24416454.824415922,-0.007193931483197957
213,2065.496017662354,24416454.82441587,-0.006639998742321041
214,2065.496024302353,24416454.82441583,-0.0061287188247661105
215,2065.4960304310716,24416454.82441579,-0.00565680748259183
216,2065.496036087879,24416454.824415762,-0.005221233314659912
217,2065.496041309112,24416454.824415736,-0.00481919836893212
218,2065.4960461283104,24416454.824415714,-0.0044481201010057704
219,2065.4960505764307,24416454.824415695,-0.00410561483586207
220,2065.4960546820457,24416454.824415676,-0.003789482483989559
221,2065.496058471528,24416454.82441566,-0.0034976923241629267
222,2065.4960619692206,24416454.824415654,-0.003228370011493098
223,2065.4960651975907,24416454.824415646,-0.0029797855095239356
224,2065.4960681773764,24416454.824415635,-0.0027503420133143663
225,2065.4960709277184,24416454.824415628,-0.002538565680151805
226,2065.496073466284,24416454.82441562,-0.0023430961271515118
227,2065.4960758093803,24416454.824415617,-0.002162677719024941
228,2065.496077972058,24416454.82441561,-0.001996151523781009
229,2065.49607996821,24416454.824415606,-0.0018424478446831926
230,2065.496081810658,24416454.8244156,-0.0017005793430143966
231,2065.4960835112374,24416454.824415598,-0.0015696347196353599
232,2065.496085080872,24416454.824415598,-0.001448772860749159
233,2065.496086529645,24416454.824415598,-0.0013372173489187844
234,2065.496087866862,24416454.824415594,-0.0012342516172793693
235,2065.4960891011137,24416454.82441559,-0.001139214240538422
236,2065.496090240328,24416454.82441559,-0.0010514947236515582
237,2065.4960912918227,24416454.824415587,-0.000970529651385732
238,2065.4960922623522,24416454.824415587,-0.0008957988786278293
239,2065.4960931581513,24416454.824415587,-0.0008268223478808068
240,2065.496093984974,24416454.824415587,-0.0007631570158991962
241,2065.496094748131,24416454.824415587,-0.0007043939243885688
242,2065.496095452525,24416454.824415587,-0.0006501555821159854
243,2065.4960961026804,24416454.824415587,-0.0006000936045893468
244,2065.496096702774,24416454.824415587,-0.000553886394482106
245,2065.4960972566605,24416454.824415587,-0.0005112371334689669
246,2065.4960977678975,24416454.824415587,-0.000471871902118437
247,2065.4960982397693,24416454.824415587,-0.0004355377721367404
248,2065.496098675307,24416454.824415587,-0.00040200135117629543
249,2065.4960990773084,24416454.824415587,-0.0003710472563398071
250,2065.496099448356,24416454.824415587,-0.0003424765993258916
251,2065.4960997908324,24416454.824415587,-0.0003161059066769667
252,2065.4961001069382,24416454.824415587,-0.00029176575335441155
253,2065.496100398704,24416454.824415587,-0.0002692997790290974
254,2065.4961006680037,24416454.824415583,-0.0002485637174686417
255,2065.4961009165672,24416454.824415587,-0.00022942431969568132
256,2065.4961011459914,24416454.824415587,-0.00021175866422709077
257,2065.49610135775,24416454.824415583,-0.000195453260676004
258,2065.496101553203,24416454.824415587,-0.00018040336290141567
259,2065.4961017336063,24416454.824415587,-0.00016651231562718748
260,2065.4961019001184,24416454.824415587,-0.00015369087195722387
261,2065.4961020538094,24416454.824415587,-0.00014185667096171527
262,2065.496102195666,24416454.824415587,-0.0001309337152633816
263,2065.4961023265996,24416454.824415587,-0.00012085182534065098
264,2065.4961024474514,24416454.824415587,-0.00011154624517075717
265,2065.496102558998,24416454.824415587,-0.00010295716929249465
266,2065.496102661955,24416454.824415587,-9.50294706854038e-05
267,2065.4961027569843,24416454.824415587,-8.77122103702277e-05
268,2065.4961028446965,24416454.824415587,-8.095837401924654e-05
269,2065.4961029256547,24416454.824415587,-7.47245823731646e-05
270,2065.496103000379,24416454.824415587,-6.897080020280555e-05
271,2065.49610306935,24416454.824415583,-6.366006709868088e-05
272,2065.49610313301,24416454.824415587,-5.875823699170723e-05
273,2065.4961031917683,24416454.824415587,-5.4233838454820216e-05
274,2065.496103246002,24416454.824415587,-5.005785496905446e-05
275,2065.4961032960596,24416454.824415587,-4.620341205736622e-05
276,2065.496103342263,24416454.824415587,-4.2645767098292706e-05
277,2065.4961033849086,24416454.824415587,-3.936203283956274e-05
278,2065.4961034242706,24416454.824415587,-3.6331173032522204e-05
279,2065.4961034606017,24416454.824415587,-3.35336648277007e-05
280,2065.4961034941352,24416454.824415587,-3.095157881034538e-05
281,2065.4961035250867,24416454.824415583,-2.8568327252287418e-05
282,2065.496103553655,24416454.824415587,-2.636857534525916e-05
283,2065.4961035800234,24416454.824415583,-2.433820773148909e-05
284,2065.4961036043615,24416454.824415583,-2.246417279820889e-05
285,2065.4961036268255,24416454.824415587,-2.0734436111524702e-05
286,2065.49610364756,24416454.824415587,-1.913786254590377e-05
287,2065.496103666698,24416454.824415583,-1.7664243932813407e-05
288,2065.4961036843624,24416454.824415587,-1.6304085147567093e-05
289,2065.4961037006665,24416454.824415583,-1.5048685600049794e-05
290,2065.496103715715,24416454.824415587,-1.3889942783862352e-05
291,2065.496103729605,24416454.824415587,-1.2820430856663734e-05
292,2065.496103742425,24416454.824415587,-1.1833272583317012e-05
293,2065.4961037542585,24416454.824415587,-1.0922094224952161e-05
294,2065.4961037651806,24416454.824415587,-1.0081096843350678e-05
295,2065.496103775262,24416454.824415587,-9.304832201451062e-06
296,2065.496103784567,24416454.824415587,-8.588339551351964e-06
297,2065.4961037931553,24416454.824415587,-7.92704231571406e-06
298,2065.4961038010824,24416454.824415583,-7.3166578658856455e-06
299,2065.4961038083993,24416454.824415587,-6.753245543222874e-06
300,2065.4961038151528,24416454.824415583,-6.233235762920231e-06
301,2065.496103821386,24416454.824415587,-5.753277218900621e-06
302,2065.4961038271395,24416454.824415587,-5.3102616220712665e-06
303,2065.4961038324495,24416454.824415587,-4.90138481836766e-06
304,2065.496103837351,24416454.824415587,-4.523985262494535e-06
305,2065.4961038418746,24416454.824415583,-4.175651702098548e-06
306,2065.49610384605,24416454.824415587,-3.854144597426057e-06
307,2065.496103849904,24416454.824415583,-3.5573917557485402e-06
308,2065.4961038534616,24416454.824415583,-3.283462137915194e-06
309,2065.496103856745,24416454.824415587,-3.0306444386951624e-06
310,2065.4961038597753,24416454.824415587,-2.7973015676252545e-06
311,2065.4961038625725,24416454.824415587,-2.5819172151386738e-06
312,2065.4961038651545,24416454.824415583,-2.3831104044802488e-06
313,2065.496103867538,24416454.824415587,-2.199583104811609e-06
314,2065.4961038697375,24416454.824415583,-2.0302235498093068e-06
315,2065.496103871768,24416454.824415587,-1.8738763174042106e-06
316,2065.496103873642,24416454.824415587,-1.7295678844675422e-06
317,2065.4961038753713,24416454.824415587,-1.5964076737873257e-06
318,2065.496103876968,24416454.824415587,-1.4734614524058998e-06
319,2065.4961038784413,24416454.824415587,-1.3600103557109832e-06
320,2065.4961038798015,24416454.824415587,-1.2552860425785185e-06
321,2065.4961038810566,24416454.824415587,-1.1586409527808427e-06
322,2065.4961038822153,24416454.824415587,-1.0694275260902941e-06
323,2065.496103883285,24416454.824415587,-9.870665962807834e-07
324,2065.496103884272,24416454.824415587,-9.110415703617037e-07
325,2065.496103885183,24416454.824415587,-8.409129804931581e-07
326,2065.496103886024,24416454.824415583,-7.761700544506311e-07
327,2065.4961038868,24416454.824415583,-7.163995178416371e-07
328,2065.4961038875163,24416454.824415583,-6.612564902752637e-07
329,2065.4961038881775,24416454.824415587,-6.103364285081625e-07
330,2065.4961038887877,24416454.824415587,-5.633366527035832e-07
331,2065.496103889351,24416454.824415587,-5.199573934078216e-07
332,2065.496103889871,24416454.824415583,-4.799425369128585e-07
333,2065.4961038903507,24416454.824415583,-4.429981345310807e-07
334,2065.4961038907936,24416454.824415583,-4.0888990042731167e-07
335,2065.4961038912024,24416454.824415583,-3.774199285544455e-07
336,2065.49610389158,24416454.824415587,-3.4835684346035125e-07
337,2065.496103891928,24416454.824415583,-3.215274773538113e-07
338,2065.4961038922497,24416454.824415583,-2.9677466955035926e-07
339,2065.4961038925467,24416454.824415587,-2.7390633476898075e-07
340,2065.4961038928204,24416454.824415587,-2.5283079594373705e-07
341,2065.4961038930733,24416454.824415587,-2.3335451260209084e-07
342,2065.4961038933066,24416454.824415587,-2.153916284441948e-07
343,2065.496103893522,24416454.824415583,-1.9879807950928806e-07
344,2065.496103893721,24416454.824415587,-1.8348800949752332e-07
345,2065.496103893904,24416454.824415587,-1.69385748449713e-07
346,2065.4961038940733,24416454.824415587,-1.5635450836271048e-07
347,2065.4961038942297,24416454.824415587,-1.443127985112369e-07
348,2065.496103894374,24416454.824415587,-1.3322132872417569e-07
349,2065.496103894507,24416454.824415587,-1.2295349733904003e-07
350,2065.49610389463,24416454.824415587,-1.1350202839821577e-07
351,2065.4961038947436,24416454.824415587,-1.0474323062226176e-07
352,2065.496103894848,24416454.824415587,-9.669165592640639e-08
353,2065.496103894945,24416454.824415587,-8.923816494643688e-08
354,2065.496103895034,24416454.824415587,-8.236675057560205e-08
355,2065.4961038951164,24416454.824415583,-7.603666745126247e-08
356,2065.4961038951924,24416454.824415583,-7.019261829555035e-08
357,2065.4961038952624,24416454.824415583,-6.479822332039475e-08
358,2065.496103895327,24416454.824415583,-5.98258338868618e-08
359,2065.496103895387,24416454.824415587,-5.51925040781498e-08
360,2065.496103895442,24416454.824415587,-5.095935193821788e-08
361,2065.496103895493,24416454.824415587,-4.703906597569585e-08
362,2065.49610389554,24416454.824415587,-4.3425825424492357e-08
363,2065.496103895583,24416454.824415587,-4.010362317785621e-08
364,2065.496103895623,24416454.824415587,-3.702298272401094e-08
365,2065.49610389566,24416454.824415587,-3.4185359254479406e-08
366,2065.496103895694,24416454.824415587,-3.156455932185054e-08
367,2065.4961038957254,24416454.824415587,-2.914021024480462e-08
368,2065.4961038957545,24416454.824415587,-2.6899215299636126e-08
369,2065.4961038957813,24416454.824415587,-2.484157448634505e-08
370,2065.4961038958063,24416454.824415587,-2.2914900910109282e-08
371,2065.496103895829,24416454.824415587,-2.1171581465750934e-08
372,2065.4961038958504,24416454.824415587,-1.9518483895808458e-08
373,2065.49610389587,24416454.824415587,-1.800799509510398e-08
374,2065.496103895888,24416454.824415583,-1.661974238231778e-08
375,2065.496103895905,24416454.824415587,-1.532025635242462e-08
376,2065.4961038959204,24416454.824415583,-1.4124088920652867e-08
377,2065.4961038959345,24416454.824415587,-1.3044336810708046e-08
378,2065.4961038959477,24416454.824415587,-1.2024247553199529e-08
379,2065.4961038959595,24416454.824415583,-1.1116208042949438e-08
380,2065.4961038959705,24416454.824415587,-1.0275107342749834e-08
381,2065.496103895981,24416454.824415587,-9.468931239098311e-09
382,2065.4961038959905,24416454.824415587,-8.729693945497274e-09
383,2065.496103895999,24416454.824415587,-8.067581802606582e-09
384,2065.4961038960073,24416454.824415587,-7.444759830832482e-09
385,2065.4961038960146,24416454.824415587,-6.885966286063194e-09
386,2065.4961038960214,24416454.824415587,-6.356276571750641e-09
387,2065.4961038960278,24416454.824415583,-5.861511453986168e-09
388,2065.4961038960337,24416454.824415583,-5.414767656475306e-09
389,2065.496103896039,24416454.824415587,-4.98694134876132e-09
390,2065.496103896044,24416454.824415583,-4.605681169778109e-09
391,2065.4961038960487,24416454.824415587,-4.247704055160284e-09
392,2065.496103896053,24416454.824415587,-3.931927494704723e-09
393,2065.496103896057,24416454.824415587,-3.620516508817673e-09
394,2065.4961038960605,24416454.824415587,-3.3425749279558657e-09
395,2065.4961038960637,24416454.824415587,-3.0879164114594458e-09
396,2065.496103896067,24416454.824415587,-2.8492650017142297e-09
397,2065.4961038960696,24416454.824415583,-2.645538188517094e-09
398,2065.4961038960723,24416454.824415583,-2.431625034660101e-09
399,2065.4961038960746,24416454.824415587,-2.2482709027826786e-09
400,2065.496103896077,24416454.824415583,-2.083834260702133e-09
401,2065.496103896079,24416454.824415587,-1.9092112779617308e-09
402,2065.496103896081,24416454.824415587,-1.760781742632389e-09
403,2065.496103896083,24416454.824415587,-1.6254489310085774e-09
404,2065.4961038960846,24416454.824415583,-1.4872057363390923e-09
405,2065.496103896086,24416454.824415587,-1.3795215636491775e-09
406,2065.4961038960873,24416454.824415583,-1.2834789231419564e-09
407,2065.4961038960887,24416454.824415587,-1.1670636013150216e-09
408,2065.49610389609,24416454.824415583,-1.0652001947164536e-09
409,2065.496103896091,24416454.824415583,-1.0026269592344762e-09
410,2065.496103896092,24416454.824415583,-9.327777661383151e-10
411,2065.496103896093,24416454.824415583,-8.469214662909508e-10
412,2065.4961038960937,24416454.824415587,-7.8580342233181e-10
413,2065.4961038960946,24416454.824415583,-7.217749953269959e-10
414,2065.4961038960955,24416454.824415587,-6.431946530938149e-10
415,2065.496103896096,24416454.824415587,-6.082700565457344e-10
416,2065.4961038960964,24416454.824415587,-5.704350769519806e-10
417,2065.496103896097,24416454.824415587,-5.398760549724102e-10
418,2065.4961038960973,24416454.824415587,-5.049514584243298e-10
419,2065.496103896098,24416454.824415587,-4.729372449219227e-10
420,2065.4961038960982,24416454.824415587,-4.394678398966789e-10
421,2065.4961038960987,24416454.824415583,-4.045432433485985e-10
422,2065.496103896099,24416454.824415583,-3.69618646800518e-10
423,2065.4961038960996,24416454.824415587,-3.2887328416109087e-10
424,2065.4961038961,24416454.824415587,-2.9103830456733704e-10
425,2065.4961038961005,24416454.824415587,-2.561137080192566e-10
426,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
427,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
428,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
429,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
430,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
431,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
432,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
433,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
434,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
435,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
436,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
437,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
438,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
439,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
440,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
441,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
442,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
443,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
444,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
445,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
446,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
447,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
448,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
449,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
450,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
451,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
452,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
453,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
454,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
455,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
456,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
457,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
458,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
459,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
460,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
461,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
462,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
463,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
464,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
465,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
466,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
467,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
468,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
469,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
470,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
471,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
472,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
473,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
474,2065.496103896101,24416454.824415587,-2.2118911147117614e-10
